"objectID","isHighlight","accessionNumber","accessionYear","isPublicDomain","primaryImage","primaryImageSmall","constituents","department","objectName","title","culture","period","dynasty","reign","portfolio","artistRole","artistPrefix","artistDisplayName","artistDisplayBio","artistSuffix","artistAlphaSort","artistNationality","artistBeginDate","artistEndDate","artistGender","artistWikidata_URL","artistULAN_URL","objectDate","objectBeginDate","objectEndDate","medium","dimensions","measurements__elementName","measurements__elementDescription","measurements__elementMeasurements__Height","creditLine","geographyType","city","state","county","country","region","subregion","locale","locus","excavation","river","classification","rightsAndReproduction","linkResource","metadataDate","repository","objectURL","tags","objectWikidata_URL","isTimelineWork","GalleryNumber"
"250646","False","17.230.119","1917","True","https://images.metmuseum.org/CRDImages/gr/original/DP-14287-095.jpg","https://images.metmuseum.org/CRDImages/gr/web-large/DP-14287-095.jpg","null","Greek and Roman Art","Column","Marble column with base and capital","Roman","Hadrianic","","","","","","","","","","","","","","","","ca. 117–138 CE","100","199","Marble","H. with capital 165 in. (419.1 cm)
H. of column  144 in. (365.8 cm)
H. of capital  21 in. (53.3 cm)","Overall","height with capital","419.1008","Rogers Fund, 1917","","","","","","","","","","","","Stone Sculpture","","","2025-03-06T04:54:30Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/250646","null","https://www.wikidata.org/wiki/Q116402598","False","162"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Other","height of capital","53.3401","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Other","height of column","365.7607","","","","","","","","","","","","","","","","","","","","","",""
